PO Number: 1619
Batch NO: 1619
SIM Type: ISIM
Circle: MU
SIM Quantity: 10
SIM Subtype: RAW
Memory: 128K
SIM Size: 2FF+3FF+4FF
Card Type: SIM
SKU: 1108
Card Manufacturer: 110429
*************************************************
* INPUT AND OUTPUT VARIABLES DESCRIPTION
*************************************************
IMPU	IMPI	IMSI	ICCID	PIN1	PUK1	PIN2	PUK2	EncryptedKi	EncryptedOPC	TranskeyIndex	OPKeyIndex	MSN
sip:405874999990549@ims.mnc874.mcc405.3gppnetwork.org	405874999990549@ims.mnc874.mcc405.3gppnetwork.org	405874999990549	8991874110999990549	1234	59853636	9366	08343414	E6F88F5CF7A0AA18D0DDD2C0E24E7AC5	1A6E2BEB6711055F575C8D55E529DA77	0	0	OB0171750936670002
sip:405874999990545@ims.mnc874.mcc405.3gppnetwork.org	405874999990545@ims.mnc874.mcc405.3gppnetwork.org	405874999990545	8991874110999990545	1234	52858151	6871	95018449	08198135DD79168889F29D403638557A	65704914E3F96D3AE6483AAE9FB2C4F1	0	0	OB0171750936670002
sip:405874999990546@ims.mnc874.mcc405.3gppnetwork.org	405874999990546@ims.mnc874.mcc405.3gppnetwork.org	405874999990546	8991874110999990546	1234	53371946	9546	12147926	10755BA57EE97118663511FAB50A6F43	417F079855F5E9DDB386F73E03A10E35	0	0	OB0171750936670002
sip:405874999990547@ims.mnc874.mcc405.3gppnetwork.org	405874999990547@ims.mnc874.mcc405.3gppnetwork.org	405874999990547	8991874110999990547	1234	22068978	1302	97448317	F3012562FAFAE4A7F1C9FF5783511AF4	90D59A7F644D7250617C78308B0BFE9B	0	0	OB0171750936670002
sip:405874999990548@ims.mnc874.mcc405.3gppnetwork.org	405874999990548@ims.mnc874.mcc405.3gppnetwork.org	405874999990548	8991874110999990548	1234	26604361	1571	16838896	D703E0A2DCF3C05030C616E507F99260	0F78A95A8325E0A4E8B8472F8C0FFC99	0	0	OB0171750936670002
sip:405874999990544@ims.mnc874.mcc405.3gppnetwork.org	405874999990544@ims.mnc874.mcc405.3gppnetwork.org	405874999990544	8991874110999990544	1234	31502331	0159	72624075	9A4B5B1759BEEEB17DA285A29292F727	896CB67D765AC3C79C6A1304D92CC2B5	0	0	OB0171750936670002
sip:405874999990540@ims.mnc874.mcc405.3gppnetwork.org	405874999990540@ims.mnc874.mcc405.3gppnetwork.org	405874999990540	8991874110999990540	1234	12329840	1410	70451156	0A6ABB216A8FC50CE547E880777A4761	52CEA2AEEDC5937D6E1CDF1AAF542537	0	0	OB0171750936670002
sip:405874999990542@ims.mnc874.mcc405.3gppnetwork.org	405874999990542@ims.mnc874.mcc405.3gppnetwork.org	405874999990542	8991874110999990542	1234	93435570	2280	22029894	90BFD2696ED90C98E838D15311496D1C	6D34DEE1A2D7F3FB4E20D8E931155E6E	0	0	OB0171750936670002
sip:405874999990541@ims.mnc874.mcc405.3gppnetwork.org	405874999990541@ims.mnc874.mcc405.3gppnetwork.org	405874999990541	8991874110999990541	1234	46615499	8605	90683911	6B580D011EF5F4DEDD000F281E9EA236	4877CD82128482A00DBA2E8CB48D1B64	0	0	OB0171750936670002
sip:405874999990543@ims.mnc874.mcc405.3gppnetwork.org	405874999990543@ims.mnc874.mcc405.3gppnetwork.org	405874999990543	8991874110999990543	1234	08541821	2592	48002546	84030A8FF0DD389AE007BFC699BEBB5A	DFDDAEECEC7C82FC1E1CF2CEF5B19113	0	0	OB0171750936670002
