PO Number: 2518
Batch NO: 1563
SIM Type: ISIM
Circle: MU
SIM Quantity: 5000
SIM Subtype: RAW
Memory: 128K
SIM Size: 2FF+3FF+4FF
Card Type: SIM_DOM
SKU: 5656
Card Manufacturer: 386779
*************************************************
*          INPUT AND OUTPUT VARIABLES DESCRIPTION
*************************************************
IMPU	IMPI	IMSI	IMSII	ICCID	PIN1	PUK1	PIN2	PUK2	EncryptedKi	EncryptedOPC	TranskeyIndex	OPKeyIndex	MSN
SIP:405874052495087@ims.mnc874.mcc405.3gppnetwork.org	405874052495087@ims.mnc874.mcc405.3gppnetwork.org	405874052495087	405874052495087	89918740100000908969	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495088@ims.mnc874.mcc405.3gppnetwork.org	405874052495088@ims.mnc874.mcc405.3gppnetwork.org	405874052495088	405874052495088	89918740100000908979	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495089@ims.mnc874.mcc405.3gppnetwork.org	405874052495089@ims.mnc874.mcc405.3gppnetwork.org	405874052495089	405874052495089	89918740100000908989	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495090@ims.mnc874.mcc405.3gppnetwork.org	405874052495090@ims.mnc874.mcc405.3gppnetwork.org	405874052495090	405874052495090	89918740100000908999	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495091@ims.mnc874.mcc405.3gppnetwork.org	405874052495091@ims.mnc874.mcc405.3gppnetwork.org	405874052495091	405874052495091	89918740100000909009	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495092@ims.mnc874.mcc405.3gppnetwork.org	405874052495092@ims.mnc874.mcc405.3gppnetwork.org	405874052495092	405874052495092	89918740100000909019	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495093@ims.mnc874.mcc405.3gppnetwork.org	405874052495093@ims.mnc874.mcc405.3gppnetwork.org	405874052495093	405874052495093	89918740100000909029	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495094@ims.mnc874.mcc405.3gppnetwork.org	405874052495094@ims.mnc874.mcc405.3gppnetwork.org	405874052495094	405874052495094	89918740100000909039	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495095@ims.mnc874.mcc405.3gppnetwork.org	405874052495095@ims.mnc874.mcc405.3gppnetwork.org	405874052495095	405874052495095	89918740100000909049	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495096@ims.mnc874.mcc405.3gppnetwork.org	405874052495096@ims.mnc874.mcc405.3gppnetwork.org	405874052495096	405874052495096	89918740100000909059	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495097@ims.mnc874.mcc405.3gppnetwork.org	405874052495097@ims.mnc874.mcc405.3gppnetwork.org	405874052495097	405874052495097	89918740100000909069	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
SIP:405874052495098@ims.mnc874.mcc405.3gppnetwork.org	405874052495098@ims.mnc874.mcc405.3gppnetwork.org	405874052495098	405874052495098	89918740100000909079	1234	12345678	1234	12345678	11112222333344445555666677778888	E3B4D1987C0E577A09FF75AEC158F999	997	96	SC9100000320747933
